Category,Item Name,Serving Size(g),Energy(kJ),Energy(kCal),Protein(g),"Fat,Total(g)",Sat.Fat(g),Carb(g),Sugars(g),Dietary Fiber (g),Sodium (mg),Description
Subway 6-Inch® Subs,BBQ Southern Style Chicken,100,844,201,8.1,6.7,2.2,26.3,5.3,1.4,681,"old English-style processed cheese, spinach, tomato, onion, pickle, smoky bbq sauce, toasted on Italian herbs & cheese bread"
Subway 6-Inch® Subs,Chicken & Bacon Ranch,100,761,182,11.3,8.2,2.7,15.2,2.2,1.2,372,"chicken strips, bacon, natural cheddar cheese, lettuce, tomato, carrot, onion, ranch dressing, toasted on white bread"
Subway 6-Inch® Subs,Chicken Classic,100,832,199,9,9.2,2.9,19.2,2.8,2,569,"old English-style processed cheese, lettuce, tomato, cucumber, onion, garlic aioli, toasted on Italian herbs & cheese bread"
Subway 6-Inch® Subs,Chicken Schnitzel,100,840,201,11.2,8.8,2.3,18.5,2.6,1.5,433,"old English-style processed cheese, lettuce, tomato, onion, carrot, garlic aioli, toasted on Italian herbs & cheese bread"
Subway 6-Inch® Subs,Chicken Strips,100,669,160,10.8,5.6,1.9,16,2.1,1.7,288,"natural cheddar cheese, lettuce, tomato, cucumber, carrot, mayonnaise on wheat bread"
Subway 6-Inch® Subs,Chipotle Steak Melt,100,989,236,12.3,11,3.1,20.7,2.7,1.5,707,"old English-style processed cheese, spinach, capsicum, onion, pickle, chipotle southewest sauce, toasted on Italian herbs & cheese bread"
Subway 6-Inch® Subs,Honey Mustard Leg Ham,100,696,167,9.1,4.9,1.8,20.5,4.3,2.4,427,"natural cheddar cheese, lettuce, tomato, cucumber, carrot, honey mustard on malted rye bread"
Subway 6-Inch® Subs,Italian B.M.T.®,100,891,213,10.4,10.8,4.3,17.9,2.4,1.4,576,"salami, pepperoni, leg ham, mozzarella cheese, lettuce, tomato, onion, capsicum, olive, mayonnaise on Italian herbs & cheese bread"
Subway 6-Inch® Subs,Italian Meatball,100,809,193,8.3,9.8,3.6,17.8,3.7,1.8,410,"beef meatball in marinara sauce, mozzarella cheese, spinach, tomato, onion, olive, garlic aioli, toasted on Italian herbs & cheese bread"
Subway 6-Inch® Subs,Pizza Melt,100,933,223,10.6,10.3,4.6,21.2,3.1,1.7,571,"salami, pepperoni, mozzarella cheese, olive, tomato, capsicum, onion, marinara sauce, toasted on Italian herbs & cheese bread"
Subway 6-Inch® Subs,Seafood Sensation,100,797,191,6,8.7,2.5,21.3,4.1,1.2,355,"seafood in mayonnaise, natural cheddar cheese, lettuce, tomato, onion, carrot, thousand island dressing on white bread"
Subway 6-Inch® Subs,Smashed Falafel,100,812,194,7.3,7.5,1.8,22.5,3.8,3,488,"natural cheddar cheese, lettuce, spinach, tomato, onion, carrot, garlic aioli on wheat bread"
Subway 6-Inch® Subs,Sweet Onion Chicken Teriyak,100,642,154,9.9,3.1,1.4,21.2,7,1.3,320,"chicken strips in teriyaki glaze, mozzarella cheese, spinach, tomato, cucumber, onion, capsicum, sweet onion sauce, toasted on white bread"
Subway 6-Inch® Subs,Tuna Mayo,100,719,172,9.9,6.6,2.1,17.4,2,1.6,337,"tuna in mayonnaise, natural cheddar cheese, lettuce, tomato, onion, pickle on wheat bread"
Subway 6-Inch® Subs,Turkey on Rye,100,698,167,10.1,4.5,1.7,20.2,4.1,2.5,368,"natural cheddar cheese, lettuce, spinach, tomato, onion, honey mustard on malted rye bread"
Subway 6-Inch® Subs,Veggie Delite® with Avo,100,720,172,7.4,6.7,1.9,20.3,2.3,3.7,219,"natural cheddar cheese, lettuce, spinach, tomato, cucumber, onion, carrot on malted rye bread"
